Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-03-29 17:28:59.000,-201213.436382,11941.946049,-544.662995,62.475432,110339591.061751,6066560.268627,59.99500
2009-03-29 17:28:59.033,-201193.166829,12176.505200,-544.648504,63.281945,110350110.289531,6099979.671891,59.99500
2009-03-29 17:28:59.067,-201178.663189,12400.832138,-544.461280,64.008634,110327752.842694,6125398.381398,59.99500
2009-03-29 17:28:59.100,-201167.172314,12606.665005,-544.271016,64.621009,110304116.663233,6138183.261547,59.99500
2009-03-29 17:28:59.133,-201159.176980,12807.788221,-544.329304,65.055730,110330054.745967,6114902.668501,59.99500
2009-03-29 17:28:59.167,-201148.562155,13016.860048,-544.320861,65.454645,110341372.416992,6080759.292920,59.99500
2009-03-29 17:28:59.200,-201127.074544,13234.036776,-544.124222,65.878064,110309945.761255,6048902.412917,59.99500
2009-03-29 17:28:59.233,-201098.579191,13459.543067,-544.090407,66.189069,110306682.441570,5987319.409140,59.99500
2009-03-29 17:28:59.267,-201078.968927,13680.335297,-544.208115,66.674774,110340939.871721,5961945.266250,59.99500
2009-03-29 17:28:59.300,-201066.610783,13882.578299,-544.274110,67.290385,110369514.671054,5973921.724059,59.99500
2009-03-29 17:28:59.333,-201049.605049,14079.562274,-544.352079,67.709051,110395084.293404,5948638.912422,59.99500
2009-03-29 17:28:59.367,-201036.471246,14279.988721,-544.593752,68.201491,110457122.636616,5934194.371326,59.99500
2009-03-29 17:28:59.400,-201032.780097,14462.052478,-544.854671,68.974143,110531156.956039,5986346.961151,59.99500
2009-03-29 17:28:59.433,-201023.568858,14640.556673,-544.845667,69.756712,110548097.577783,6045899.308757,59.99500
2009-03-29 17:28:59.467,-201009.688767,14827.189054,-544.634591,70.173195,110517300.904683,6030092.111432,59.99600
2009-03-29 17:28:59.500,-200995.179557,15022.593263,-544.689239,70.360002,110536901.004225,5959376.445600,59.99600
2009-03-29 17:28:59.533,-200975.687919,15224.323228,-545.076333,70.929461,110626944.109752,5956678.943248,59.99600
2009-03-29 17:28:59.567,-200960.388896,15424.955331,-545.433278,71.873510,110719129.318238,6030444.500795,59.99500
2009-03-29 17:28:59.600,-200952.324189,15613.800533,-545.518752,72.537739,110755850.928786,6059006.338309,59.99500
2009-03-29 17:28:59.633,-200944.881603,15792.473453,-545.439178,72.720928,110751654.420854,5999064.523647,59.99500
2009-03-29 17:28:59.667,-200928.046285,15983.821823,-545.447032,73.133801,110764564.147864,5976303.641215,59.99500
2009-03-29 17:28:59.700,-200904.831959,16192.299567,-545.638350,73.878902,110817650.286772,6007488.840305,59.99500
2009-03-29 17:28:59.733,-200885.600123,16404.618608,-545.972152,74.497668,110900049.285734,6009043.852925,59.99500
2009-03-29 17:28:59.767,-200869.061285,16608.331909,-546.088850,74.940810,110936996.472942,5983665.379153,59.99500
2009-03-29 17:28:59.800,-200855.435172,16799.934172,-545.926871,75.430240,110919602.282271,5979038.252192,59.99500
2009-03-29 17:28:59.833,-200845.346106,16981.954883,-545.731465,75.929410,110897054.695596,5982481.594414,59.99500
2009-03-29 17:28:59.867,-200830.487124,17172.051371,-545.574675,76.571624,110882919.654517,6009280.268477,59.99500
2009-03-29 17:28:59.900,-200810.176807,17378.981200,-545.517041,77.259766,110888069.452253,6034016.835157,59.99500
2009-03-29 17:28:59.933,-200787.422191,17594.167105,-545.479550,78.022777,110898178.552469,6068733.841896,59.99500
2009-03-29 17:28:59.967,-200764.293571,17807.545679,-545.417963,78.616335,110900416.001663,6070797.658544,59.99500
2009-03-29 17:29:00.000,-200745.006030,18018.081422,-545.364309,78.851521,110899914.582192,6002630.444588,59.99500
2009-03-29 17:29:00.033,-200732.567094,18220.407482,-545.102894,79.292621,110864647.194752,5984614.506618,59.99500
2009-03-29 17:29:00.067,-200719.256192,18421.252339,-544.670193,80.011288,110799704.228299,6026299.093111,59.99500
2009-03-29 17:29:00.100,-200696.914820,18638.227968,-544.199088,80.502031,110719493.271782,6013602.537862,59.99500
2009-03-29 17:29:00.133,-200668.540298,18866.645090,-543.946201,81.061353,110682245.875491,6004023.389627,59.99500
2009-03-29 17:29:00.167,-200642.032183,19088.510303,-543.846585,81.832593,110680546.242559,6037836.679340,59.99500
2009-03-29 17:29:00.200,-200620.271204,19300.218758,-543.619704,82.523394,110653852.013488,6063886.533414,59.99500
2009-03-29 17:29:00.233,-200604.905607,19505.831110,-543.640162,83.114836,110678107.357623,6069090.742748,59.99500
2009-03-29 17:29:00.267,-200589.329278,19711.432220,-543.828378,83.537049,110732804.381887,6037004.501498,59.99500
2009-03-29 17:29:00.300,-200573.044670,19916.972465,-543.585968,84.007782,110701873.233034,6023109.763468,59.99500
2009-03-29 17:29:00.333,-200550.901317,20123.701079,-543.491793,84.538169,110698989.729448,6017139.549427,59.99500
2009-03-29 17:29:00.367,-200525.560823,20335.052805,-543.741976,85.265371,110768040.425612,6040864.538586,59.99500
2009-03-29 17:29:00.400,-200503.125410,20545.279504,-543.791830,85.928730,110797391.186422,6056623.889290,59.99500
2009-03-29 17:29:00.433,-200480.650719,20753.731987,-543.435023,86.532567,110744080.697697,6069800.437664,59.99500
2009-03-29 17:29:00.467,-200458.193617,20955.110644,-543.016195,87.049036,110676167.710867,6070728.107448,59.99500
2009-03-29 17:29:00.500,-200440.639037,21141.439842,-542.546073,87.315588,110594258.865203,6031387.158092,59.99500
