Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-03-29 17:28:59.000,-201216.547547,12071.123573,-260.094223,-31.962742,51949435.400379,-9571062.134900,59.99500
2009-03-29 17:28:59.033,-201197.347817,12300.469930,-259.820761,-31.495141,51887842.952106,-9532656.357864,59.99500
2009-03-29 17:28:59.067,-201182.422529,12518.086014,-259.961997,-31.384282,51906913.175153,-9568192.505795,59.99500
2009-03-29 17:28:59.100,-201175.502554,12721.047416,-260.318335,-30.988552,51975464.928621,-9545659.389046,59.99500
2009-03-29 17:28:59.133,-201168.873342,12927.212409,-260.183239,-30.783665,51942822.137361,-9556159.115523,59.99500
2009-03-29 17:28:59.167,-201159.353396,13131.439285,-260.209779,-30.609062,51941689.787955,-9574228.064534,59.99500
2009-03-29 17:28:59.200,-201136.428201,13350.299301,-259.686662,-30.188707,51829419.469493,-9538943.277340,59.99500
2009-03-29 17:28:59.233,-201107.969564,13580.756012,-260.037265,-29.946149,51888875.076742,-9553911.961037,59.99500
2009-03-29 17:28:59.267,-201086.891258,13806.400706,-259.807951,-29.388264,51838227.098149,-9496607.392425,59.99500
2009-03-29 17:28:59.300,-201074.439178,13996.664965,-259.992109,-29.602134,51863436.415977,-9591254.972014,59.99500
2009-03-29 17:28:59.333,-201052.413444,14203.535145,-260.234139,-29.512836,51901515.157126,-9629871.681321,59.99500
2009-03-29 17:28:59.367,-201043.996445,14399.374103,-260.559739,-28.976441,51966728.560683,-9577436.669816,59.99500
2009-03-29 17:28:59.400,-201040.880077,14574.797766,-260.028049,-28.791890,51856631.886249,-9578203.186880,59.99500
2009-03-29 17:28:59.433,-201027.044295,14768.500108,-260.138127,-28.307821,51876734.626406,-9532487.545116,59.99500
2009-03-29 17:28:59.467,-201017.625303,14950.184525,-259.819001,-28.262082,51805675.340685,-9565518.678042,59.99600
2009-03-29 17:28:59.500,-201005.387312,15140.484362,-260.027953,-28.091961,51841693.543381,-9583584.609693,59.99600
