Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2010-10-30 05:25:53.100,52280.044773,193347.566831,-46.974806,212.089351,38551115.042569,-20170505.263887,59.98549
2010-10-30 05:25:53.133,52855.809743,193190.547970,-45.796412,212.825451,38695258.953950,-20096495.545741,59.98551
2010-10-30 05:25:53.167,53434.399603,193037.957791,-45.377784,213.397781,38769137.169736,-20162417.089550,59.98555
2010-10-30 05:25:53.200,54034.343458,192877.322818,-44.924499,213.161742,38686600.411431,-20182971.869951,59.98553
2010-10-30 05:25:53.233,54644.031758,192703.088543,-43.837974,213.560062,38758199.990766,-20117495.730614,59.98549
