Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-03-29 17:28:59.000,-200950.806568,30920.670581,52.841465,-59.567682,-12460407.708750,-10336280.259160,59.99500
2009-03-29 17:28:59.033,-200898.962959,31184.104685,53.145596,-59.753395,-12540251.242415,-10347097.303742,59.99500
2009-03-29 17:28:59.067,-200853.962410,31420.927330,53.673468,-60.020619,-12666432.189126,-10368908.928237,59.99500
2009-03-29 17:28:59.100,-200817.691474,31627.498160,53.612616,-60.114245,-12667624.966648,-10376371.034729,59.99500
2009-03-29 17:28:59.133,-200796.436037,31815.245664,53.132488,-60.174077,-12583267.327071,-10392317.129535,59.99500
2009-03-29 17:28:59.167,-200786.830391,31998.038406,52.515443,-59.849464,-12459474.783089,-10336593.021976,59.99500
2009-03-29 17:28:59.200,-200770.233525,32182.980271,51.708459,-59.659153,-12301528.801914,-10313649.821118,59.99500
2009-03-29 17:28:59.233,-200712.136838,32421.279992,51.945643,-59.855468,-12366711.960151,-10329574.642149,59.99500
2009-03-29 17:28:59.267,-200664.410924,32673.084296,51.789748,-59.811615,-12346589.161755,-10309931.753383,59.99500
2009-03-29 17:28:59.300,-200615.925727,32883.038086,52.073589,-60.538632,-12437485.438645,-10432675.891144,59.99500
2009-03-29 17:28:59.333,-200576.772111,33099.536246,51.406274,-60.314839,-12307297.688551,-10396231.956622,59.99500
2009-03-29 17:28:59.367,-200568.649435,33279.096448,50.515215,-59.733933,-12119659.813154,-10299653.645493,59.99500
2009-03-29 17:28:59.400,-200570.346441,33416.438376,50.298429,-59.996266,-12093234.791532,-10352677.416333,59.99500
2009-03-29 17:28:59.433,-200533.317450,33603.464568,49.529769,-60.181530,-11954676.775175,-10404030.111333,59.99500
2009-03-29 17:28:59.467,-200485.598431,33823.944996,49.203018,-60.528283,-11911801.802044,-10470808.794277,59.99500
2009-03-29 17:28:59.500,-200434.484829,34040.226375,49.644893,-60.592451,-12013129.209952,-10454893.284262,59.99500
2009-03-29 17:28:59.533,-200390.183117,34264.480334,48.938073,-60.464035,-11878478.134631,-10439561.351167,59.99500
2009-03-29 17:28:59.567,-200369.807436,34454.312912,48.541690,-60.630801,-11815281.604768,-10476111.377645,59.99500
2009-03-29 17:28:59.600,-200362.886038,34615.162278,48.062797,-60.279672,-11716591.452350,-10414107.599073,59.99500
2009-03-29 17:28:59.633,-200345.977778,34752.699134,47.127022,-60.423784,-11541598.863312,-10467870.842683,59.99600
2009-03-29 17:28:59.667,-200294.049734,34970.596467,47.348264,-60.451029,-11597584.058519,-10452184.405372,59.99600
2009-03-29 17:28:59.700,-200235.295975,35218.968279,47.340325,-61.023698,-11628395.706291,-10551820.762608,59.99600
2009-03-29 17:28:59.733,-200190.576574,35453.932991,47.616637,-61.204138,-11702329.461349,-10564294.544774,59.99500
2009-03-29 17:28:59.767,-200152.174015,35661.542811,47.546055,-60.919290,-11688922.180614,-10497562.687984,59.99500
2009-03-29 17:28:59.800,-200146.940868,35822.818388,47.074344,-60.956036,-11605402.935194,-10513828.405490,59.99500
2009-03-29 17:28:59.833,-200138.596436,35967.344963,45.898261,-60.829203,-11373878.443500,-10523432.829338,59.99500
2009-03-29 17:28:59.867,-200095.448608,36167.282940,45.905585,-60.802264,-11384551.310955,-10505975.983416,59.99500
2009-03-29 17:28:59.900,-200035.899828,36415.442224,46.654181,-60.601772,-11539351.366566,-10423597.335427,59.99500
2009-03-29 17:28:59.933,-199972.123152,36666.037086,47.154774,-61.108607,-11670250.678005,-10491039.149635,59.99500
2009-03-29 17:28:59.967,-199928.118736,36887.041692,47.194223,-61.160811,-11691493.603249,-10486910.612453,59.99500
2009-03-29 17:29:00.000,-199906.961289,37090.986257,47.040256,-60.968781,-11665066.825639,-10443314.283739,59.99500
2009-03-29 17:29:00.033,-199885.982745,37265.034580,46.615386,-60.871648,-11586146.345097,-10430265.225042,59.99500
2009-03-29 17:29:00.067,-199849.391963,37443.399022,45.926542,-60.853739,-11456962.285563,-10441936.854192,59.99500
2009-03-29 17:29:00.100,-199791.971175,37679.581343,46.562458,-61.331392,-11613746.508155,-10499065.734522,59.99500
2009-03-29 17:29:00.133,-199728.245121,37931.871609,47.264805,-61.080970,-11757032.103114,-10406752.418877,59.99500
2009-03-29 17:29:00.167,-199668.965705,38158.602447,47.738698,-61.598974,-11882467.257802,-10477761.382219,59.99500
2009-03-29 17:29:00.200,-199638.788365,38368.130255,47.353829,-61.074399,-11796971.565392,-10375941.117367,59.99500
2009-03-29 17:29:00.233,-199624.397944,38541.697764,46.935571,-61.452329,-11737962.274801,-10458407.501041,59.99500
2009-03-29 17:29:00.267,-199603.859050,38726.757264,46.427819,-61.219025,-11637986.159591,-10421554.814737,59.99500
2009-03-29 17:29:00.300,-199567.732184,38919.290796,46.468152,-60.922100,-11644588.611752,-10349577.875530,59.99500
2009-03-29 17:29:00.333,-199497.111094,39157.856934,47.489432,-61.483768,-11881577.155997,-10406249.717678,59.99500
2009-03-29 17:29:00.367,-199442.047304,39404.863577,48.042223,-61.472884,-12003969.881655,-10367180.528900,59.99500
2009-03-29 17:29:00.400,-199398.609856,39600.987823,47.787238,-62.029811,-11985150.597763,-10476236.189252,59.99500
2009-03-29 17:29:00.433,-199365.615407,39792.313293,47.210256,-61.723599,-11868226.616171,-10426957.958091,59.99500
2009-03-29 17:29:00.467,-199357.924327,39962.302917,47.106331,-61.548581,-11850643.481260,-10387719.895491,59.99500
2009-03-29 17:29:00.500,-199328.422839,40133.013354,46.945433,-61.480432,-11824954.040917,-10370735.794114,59.99600
