Timestamps,Real Voltage,Imag. Voltage,Real Current,Imag. Current,Real Power,Apparent Power,Frequency
2009-01-26 09:20:35.000,69195.382450,-189154.213446,82.507935,-132.698684,30809683.318753,-6424587.300035,59.99900
2009-01-26 09:20:35.033,69208.702958,-189150.617882,82.076356,-132.935030,30825141.151705,-6324532.483835,60.00000
2009-01-26 09:20:35.067,69225.088010,-189145.473813,82.402854,-132.605282,30786033.701055,-6406514.507499,60.00000
2009-01-26 09:20:35.100,69231.149250,-189137.079029,82.560824,-133.094675,30888918.835696,-6401015.687927,60.00000
2009-01-26 09:20:35.133,69241.924708,-189126.532019,82.932310,-133.077542,30910886.841330,-6470155.048019,60.00000
2009-01-26 09:20:35.167,69259.546968,-189119.759842,82.452370,-132.978018,30859384.586577,-6383375.232180,60.00000
2009-01-26 09:20:35.200,69297.989478,-189109.937082,82.538930,-133.115078,30893165.988447,-6384324.615654,60.00000
2009-01-26 09:20:35.233,69335.810301,-189093.410859,82.816430,-132.987497,30889203.767373,-6439245.363330,60.00100
2009-01-26 09:20:35.267,69372.218758,-189083.039318,82.927720,-133.196565,30938091.316426,-6440084.103099,60.00100
2009-01-26 09:20:35.300,69387.425070,-189069.683562,82.540914,-133.364291,30942445.743332,-6352179.766285,60.00100
2009-01-26 09:20:35.333,69408.826954,-189063.212663,82.938480,-133.660259,31026900.577024,-6403413.644670,60.00100
2009-01-26 09:20:35.367,69451.529444,-189054.987680,82.874300,-133.219564,30941569.840949,-6415497.308801,60.00100
2009-01-26 09:20:35.400,69495.470295,-189045.232294,82.614021,-133.586697,30995228.528752,-6334116.499061,60.00100
2009-01-26 09:20:35.433,69535.415881,-189034.485378,82.953575,-133.387533,30983054.938299,-6405928.837013,60.00100
2009-01-26 09:20:35.467,69584.833146,-189029.620235,83.138480,-133.418490,31005223.682886,-6431732.016128,60.00100
2009-01-26 09:20:35.500,69612.118158,-189024.156278,82.937638,-133.260595,30962936.249849,-6400664.715072,60.00100
2009-01-26 09:20:35.533,69623.671011,-189015.851706,83.044987,-133.506617,31016763.847148,-6401598.157350,60.00100
2009-01-26 09:20:35.567,69639.648797,-188999.628066,82.763263,-133.586170,31011340.975853,-6339331.967856,60.00100
2009-01-26 09:20:35.600,69670.554940,-188999.108375,82.805386,-133.643948,31027684.107078,-6339096.104557,60.00100
2009-01-26 09:20:35.633,69707.443238,-188994.885701,82.718558,-132.837928,30871788.280401,-6373592.071761,60.00100
2009-01-26 09:20:35.667,69730.954399,-188979.284000,83.000674,-133.496256,31015743.140044,-6376586.649127,60.00100
2009-01-26 09:20:35.700,69748.504165,-188977.284378,82.978084,-132.948937,30911926.294896,-6407983.575704,60.00100
2009-01-26 09:20:35.733,69759.149200,-188966.426370,83.079753,-133.258428,30976941.861757,-6403289.356986,60.00100
2009-01-26 09:20:35.767,69767.877317,-188960.325900,82.845541,-133.612117,31027346.744409,-6332686.579227,60.00000
2009-01-26 09:20:35.800,69789.882308,-188950.600721,83.180503,-132.977873,30931406.448250,-6436495.945627,60.00000
2009-01-26 09:20:35.833,69818.015947,-188942.552432,82.930196,-132.998377,30919074.511563,-6383360.111195,60.00000
2009-01-26 09:20:35.867,69830.389658,-188936.380468,82.672420,-133.264453,30951550.617465,-6313919.166740,60.00000
2009-01-26 09:20:35.900,69823.518101,-188927.725933,83.101213,-132.687621,30870789.569159,-6435406.690720,60.00000
2009-01-26 09:20:35.933,69823.344770,-188927.256938,83.144555,-133.124755,30956325.653392,-6413057.078531,60.00000
2009-01-26 09:20:35.967,69828.096714,-188915.372497,82.863515,-133.047943,30921003.267172,-6363707.113406,60.00000
2009-01-26 09:20:36.000,69845.086696,-188911.757084,83.142892,-132.817029,30897820.806873,-6430052.874692,60.00000
2009-01-26 09:20:36.033,69862.271686,-188903.803210,83.181992,-132.322200,30807449.695796,-6469065.282022,60.00000
2009-01-26 09:20:36.067,69853.929322,-188910.939730,82.638486,-132.790006,30858107.759706,-6335410.444811,60.00000
2009-01-26 09:20:36.100,69835.946106,-188916.735531,83.015904,-132.461043,30821601.959905,-6432551.403778,60.00000
2009-01-26 09:20:36.133,69837.665763,-188916.419667,82.900098,-132.366501,30795754.833093,-6417022.268634,60.00000
2009-01-26 09:20:36.167,69836.639572,-188918.611459,82.682848,-132.460822,30798606.897471,-6369710.107181,60.00000
2009-01-26 09:20:36.200,69832.936727,-188923.498460,83.095444,-132.653240,30864113.032527,-6435116.585759,60.00000
2009-01-26 09:20:36.233,69821.754261,-188937.759497,82.794372,-132.576634,30829580.438980,-6386250.002528,60.00000
2009-01-26 09:20:36.267,69818.015947,-188942.552432,82.923577,-132.594824,30842364.119319,-6410284.744859,60.00000
2009-01-26 09:20:36.300,69796.716093,-188944.345322,82.792037,-132.427160,30799975.271886,-6400106.339390,60.00000
2009-01-26 09:20:36.333,69772.633478,-188948.442783,82.534838,-132.268876,30750671.126608,-6366081.325537,60.00000
2009-01-26 09:20:36.367,69759.681571,-188958.021882,82.541414,-132.608842,30815567.296661,-6346111.627864,60.00000
2009-01-26 09:20:36.400,69757.071298,-188960.797665,82.543078,-132.380063,30772605.677228,-6362960.457665,60.00000
2009-01-26 09:20:36.433,69727.818493,-188960.935033,82.374599,-132.097280,30705026.689913,-6354726.170189,60.00000
2009-01-26 09:20:36.467,69704.299558,-188971.530561,82.276410,-132.394228,30753759.345856,-6319452.227414,60.00000
2009-01-26 09:20:36.500,69684.452926,-188977.251303,82.426254,-131.894571,30668901.929820,-6385685.870575,60.00000
