Timestamp,TermID,Timecode,CurrentMag,CurrentAng,VoltageMag,VoltageAng,Frequency,DFDT,Status,Digitals
2010-10-30 05:25:54.700,107,11,263.5461,61.33384,202949.6,62.07167,59.9825,0.00753399,0,15
2010-10-30 05:25:54.733,107,12,263.654,61.12608,202922.8,61.86109,59.98267,0.004526787,0,15
2010-10-30 05:25:54.767,107,11,263.6662,61.00409,202940.8,61.65488,59.98275,-0.000769347,0,15
2010-10-30 05:25:54.800,107,13,263.7979,60.73873,202933.8,61.45292,59.98277,0.001570433,0,15
2010-10-30 05:25:54.833,107,11,263.7076,60.57013,202892.4,61.23924,59.98277,0,0,15
2010-10-30 05:25:54.867,107,12,263.9738,60.34986,202911.9,61.03377,59.9827,0,0,15
2010-10-30 05:25:54.900,107,11,263.9835,60.20407,202898.1,60.83932,59.98296,0.007686429,0,15
2010-10-30 05:25:54.933,107,12,263.9394,60.09093,202843.4,60.64312,59.9832,0.006860085,0,15
2010-10-30 05:25:54.967,107,11,264.1172,59.98311,202758.3,60.43499,59.98304,-0.002085418,0,15
2010-10-30 05:25:55.000,107,14,263.851,59.68173,202792.9,60.22672,59.98309,0.0003623217,0,15
2010-10-30 05:25:55.033,107,11,263.8141,59.39171,202839.9,60.02967,59.9833,0.006847344,0,15
2010-10-30 05:25:55.067,107,12,264.1102,59.26907,202829.3,59.84241,59.98335,0.0008393079,0,15
2010-10-30 05:25:55.100,107,11,263.6911,59.0807,202814.7,59.64067,59.98319,-0.001252592,0,15
2010-10-30 05:25:55.133,107,12,264.0468,58.92634,202813.1,59.45117,59.98358,0.01150131,0,15
2010-10-30 05:25:55.167,107,11,264.0626,58.66021,202864.9,59.26953,59.98407,0.0152079,0,15
2010-10-30 05:25:55.200,107,13,263.3485,58.46235,202836.9,59.07334,59.9841,-0.006694794,0,15
2010-10-30 05:25:55.233,107,11,263.4984,58.44169,202799.9,58.87834,59.98388,-0.002861023,0,15
2010-10-30 05:25:55.267,107,12,263.7032,58.11977,202842,58.68871,59.98411,0.009129904,0,15
2010-10-30 05:25:55.300,107,11,263.6304,58.00016,202802,58.49863,59.9841,-0.004030913,0,15
2010-10-30 05:25:55.333,107,12,263.5876,57.82502,202804,58.3178,59.9841,1.117587E-07,0,15
2010-10-30 05:25:55.367,107,11,263.378,57.61645,202815.6,58.12694,59.98419,0.009218976,0,15
2010-10-30 05:25:55.400,107,13,263.3152,57.37672,202841.8,57.94923,59.98454,0.01153316,0,15
2010-10-30 05:25:55.433,107,11,263.7018,57.19011,202869.3,57.77627,59.98484,0.008163471,0,15
2010-10-30 05:25:55.467,107,12,263.8475,57.05398,202853.4,57.59377,59.98498,0,0,15
2010-10-30 05:25:55.500,107,11,263.6708,56.85835,202855.1,57.40703,59.98486,-0.001837425,0,15
2010-10-30 05:25:55.533,107,12,263.4386,56.58708,202894.1,57.23482,59.9851,0.008385926,0,15
2010-10-30 05:25:55.567,107,11,263.3399,56.45406,202882.3,57.05474,59.98503,-0.00380829,0,15
2010-10-30 05:25:55.600,107,13,262.9319,56.37347,202800,56.86534,59.98476,-0.009180754,0,15
